ID,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25382,56,55,9/2/2019,31-091,ORL,@,MIL,W (+20),1,20:24,4,7,0.571,0,1,0,1,1,1,0,2,2,5,0,0,1,3,9,7.6,3
25382,57,56,10/2/2019,31-092,ORL,@,ATL,W (+16),1,25:13:00,6,9,0.667,1,2,0.5,1,2,0.5,0,3,3,10,1,0,0,1,14,18.2,12
25382,58,57,12/2/2019,31-094,ORL,@,NOP,W (+30),1,19:59,1,3,0.333,0,1,0,0,0,,0,5,5,6,0,0,2,0,2,4,22
25382,59,58,14/2/2019,31-096,ORL,,CHO,W (+38),1,21:52,3,5,0.6,2,3,0.667,0,0,,0,1,1,7,0,1,0,0,8,11.6,15
25382,60,59,22/2/2019,31-104,ORL,,CHI,L (-1),1,27:03:00,5,9,0.556,4,5,0.8,0,2,0,2,3,5,5,0,0,2,0,14,12.7,1
25382,61,60,24/2/2019,31-106,ORL,@,TOR,W (+15),1,27:00:00,5,6,0.833,2,2,1,0,2,0,1,4,5,8,1,0,3,0,12,14.5,8
25382,62,61,26/2/2019,31-108,ORL,@,NYK,L (-5),1,29:36:00,5,10,0.5,3,6,0.5,0,0,,0,5,5,6,1,0,3,5,13,9.7,6
25382,63,62,28/2/2019,31-110,ORL,,GSW,W (+7),1,26:59:00,6,11,0.545,2,5,0.4,0,0,,0,0,0,3,1,2,1,2,14,11.4,7
25382,64,63,2/3/2019,31-112,ORL,@,IND,W (+5),1,17:19,1,5,0.2,0,2,0,1,1,1,0,2,2,4,1,0,0,1,3,3.9,0
25382,65,64,3/3/2019,31-113,ORL,@,CLE,L (-14),1,29:16:00,6,12,0.5,2,5,0.4,5,5,1,0,5,5,5,0,0,2,0,19,16,10
25382,66,65,5/3/2019,31-115,ORL,@,PHI,L (-8),1,28:49:00,5,8,0.625,0,1,0,1,1,1,0,2,2,5,1,0,1,2,11,10.7,-11
25382,67,66,8/3/2019,31-118,ORL,,DAL,W (+5),1,28:18:00,5,9,0.556,2,4,0.5,0,0,,0,1,1,2,2,0,2,2,12,8.6,-8
25382,68,67,10/3/2019,31-120,ORL,@,MEM,L (-8),1,31:22:00,2,10,0.2,2,7,0.286,0,0,,0,4,4,6,1,0,3,0,6,3.2,-22
25382,69,68,13/3/2019,31-123,ORL,@,WAS,L (-10),1,33:13:00,6,15,0.4,4,9,0.444,0,0,,1,0,1,7,0,0,0,1,16,13.1,0
25382,70,69,14/3/2019,31-124,ORL,,CLE,W (+29),1,25:49:00,7,11,0.636,1,2,0.5,5,5,1,2,1,3,7,2,0,0,0,20,23.7,19
25382,71,70,17/3/2019,31-127,ORL,,ATL,W (+10),1,32:15:00,4,10,0.4,2,4,0.5,1,1,1,0,2,2,9,2,0,1,3,11,12.3,10
25382,72,71,20/3/2019,31-130,ORL,,NOP,W (+23),1,24:11:00,5,8,0.625,1,2,0.5,2,2,1,1,2,3,7,1,0,1,1,13,15.2,25
25382,73,72,22/3/2019,31-132,ORL,,MEM,W (+4),1,42:22:00,7,16,0.438,1,7,0.143,5,5,1,1,5,6,8,0,0,0,1,20,19,-3
25382,74,73,25/3/2019,31-135,ORL,,PHI,W (+21),1,24:50:00,2,4,0.5,0,1,0,0,0,,1,1,2,4,1,0,1,0,4,5.8,11
25382,75,74,26/3/2019,31-136,ORL,@,MIA,W (+5),1,30:18:00,3,11,0.273,2,6,0.333,9,10,0.9,1,3,4,7,0,0,2,3,17,13.4,10
25382,76,75,28/3/2019,31-138,ORL,@,DET,L (-17),1,31:17:00,7,12,0.583,2,4,0.5,2,3,0.667,1,3,4,4,1,1,3,1,18,14.7,-9
